wikidata_id	count
queen consort	2
colonial administrator	2
sports minister	2
Indian reservation of the United States	2
baby	2
detective	2
human	1
francophones	1
Apache	1
zájmová osoba Státní bezpečnosti	1
conscious collaborator of the State Security	1
bisexual man	1
ambassador of Tajikistan	1
elected position	1
High Commissioner of Malawi	1
High Commissioner of Kenya	1
Mexican American poetry	1
ambassador of Azerbaijan	1
state's attorney	1
ambassador of El Salvador	1
honorary consul of Ireland	1
honorary consul to Pakistan	1
high commissioner of Maldives	1
high commissioner to Sri Lanka	1
honorary consul to Belize	1
honorary consul of Barbados	1
honorary consul to Bangladesh	1
honorary consul of Rwanda	1
honorary consul to Kazakhstan	1
honorary consul of Singapore	1
ambassador of Barbados	1
Portuguese	1
	1
tennis player	1
ambassador of Uganda	1
classe d'ambassadeurs	1
permanent representative to OSCE	1
Mexican American politicians	1
High Commissioner of Pakistan	1
Amerindian men	1
ambassador of the Dominican Republic	1
Mexican American authors	1
envoy	1
ambassador to Samoa	1
ambassador to the king of Aragon	1
ambassador to the Kingdom of France	1
ambassador to the Kingdom of Great Britain	1
ambassador of the Tsardom of Russia	1
ambassador of the Archduchy of Austria	1
ambassador to the Archduchy of Austria	1
ambassador of the Kingdom of Italy	1
ambassador to the Republic of Texas	1
ambassador of the Kingdom of Portugal	1
ambassador to the Kingdom of Portugal	1
2channeler	1
mixed martial arts fighter	1
Kiowa people	1
caveperson	1
Silicon Valley	1
transport minister	1
ministry of public works	1
ministry in the government of Luxembourg	1
Canaanite slave	1
talmid chacham who sinned	1
Oberste Landesbehörde	1
ministry of science	1
ministry of culture	1
research minister	1
exile	1
slave	1
ethnic group	1
defunct organization	1
non-combatant evacuation operation	1
professional wrestler	1
environment minister	1
military officer	1
Indigenous peoples of South America	1
attorney general	1
high school student	1
école de filles	1
widow	1
stepmother	1
governor	1
set	1
defendant	1
bodybuilder	1
committee	1
elected person	1
council	1
Japanese people	1
Amtsbezeichnung	1
Beamter	1
pracownik	1
index case	1
manager	1
council member	1
Jewish religious occupation	1
operatic character	1
fairy	1
comics character	1
转化	1
elf in a work of fiction	1
Deputy Head of Mission	1
body of the European Union	1
Chapter nine institutions	1
human rights commission	1
autonomous constitutional agency	1
gymnast	1
minor	1
Justiciar	1
forced labour under German rule during World War II	1
concentration camp guard	1
physician	1
prostitute	1
Dominican American	1
business executive	1
interior minister	1
sorenskriver	1
prisoner of war	1
Auschwitz concentration camp inmate	1
ambassador to North Vietnam	1
ambassador to Hanover	1
ambassador to Genoa	1
Permanent Representative to the European Communities	1
ambassador to Bavaria	1
ambassador to the German Confederation	1
ambassador to the Central American Republics	1
Permanent Representative to the Western European Union	1
Resident Representative to the International Atomic Energy Agency	1
Permanent Representative, Conference on Security and Co-operation in Europe	1
envoy to the Electorate of Cologne	1
Permanent Representative to the European Free Trade Association	1
ambassador to the Kingdom of Sardinia	1
ambassador to Saxony	1
Ambassador to the Organisation for European Economic Co-operation	1
ambassador to the United Arab Republic	1
Permanent Representative of the United Kingdom to the OECD	1
ambassador to the Hanseatic Cities	1
Permanent Representative to the European Union Political and Security Committee	1
ambassador to Hawaii	1
ambassador to Persia	1
genius	1
Lithuanians	1
Kapo	1
instance or subclass of	1
prison officer	1
widower	1
competition	1
cosplayer	1
Moroccans	1
migrant	1
minister of the Netherlands	1
ambassador of Dominica	1
ambassador of Botswana	1
Pacific Islanders	1
Civil Commissioner	1
United States Attorney	1
dignitary	1
political prisoner	1
ambassador of Nicaragua	1
femme fatale	1
gender bender	1
missing in action	1
Austrians	1
rhythmic gymnast	1
Minister of State for Special Missions	1
oldest human	1
feral child	1
grand prior	1
Little Shell Tribe of Chippewa Indians of Montana	1
Métis	1
award	1
chamberlain	1
park	1
Indian agent	1
neonate	1
professional athlete	1
faithless electors in the United States presidential election, 2016	1
ambassador to the Two Sicilies	1
president	1
treasurer	1
counter-revolutionary	1
official	1
ambassador of Haiti	1
ambassador of Bhutan	1
indigenous people	1
ambassador of Niger	1
ambassador of Ecuador	1
ambassador of Antigua and Barbuda	1
ambassador of Jamaica	1
military organization	1
daughter	1
Sonderkommando	1
Romance-speaking world	1
nationality	1
passenger train	1
Minister of the Crown	1
sub-prefect	1
merino/meirinho	1
Procureur général	1
Subdelegado	1
basketball player	1
government employee	1
job	1
soldier	1
Indian reservation of Canada	1
Romanians in Italy	1
Romani people in Italy	1
Wikimedian	1
landed gentry	1
Filipino people	1
missionary	1
English people	1
Shakers	1
Han Chinese people	1
preterm infant	1
acting prime minister	1
